alpha,type,delta,D_true,D_stable,D_raw32,rel_stable,rel_raw32,rel_gap32
1.25,I,0.021544346900318822,0.6929730337600181,0.69031779764517,0.6903178094104635,0.0038316586439748964,0.0038316416659787203,1.697799617594047e-08
1.25,I,0.026101572156825334,0.6929730337600181,0.6899039347441482,0.6899039457798728,0.004428886646883114,0.004428870721696968,1.5925186145452814e-08
1.25,I,0.03162277660168379,0.6929730337600181,0.6894248671343642,0.6894248774920663,0.005120208800047743,0.005120193853287155,1.4946760587775493e-08
1.25,I,0.03831186849557285,0.6929730337600181,0.6888700048974392,0.688870014312381,0.00592090696562337,0.005920893379320055,1.3586303315546407e-08
1.25,I,0.046415888336127725,0.6929730337600181,0.6882269889272752,0.688226997839273,0.006848816045541061,0.006848803185014934,1.2860526127600653e-08
1.25,I,0.05623413251903491,0.6929730337600181,0.6874812122578154,0.687481220280747,0.007925014733119443,0.007925003155567142,1.1577552300713171e-08
1.25,I,0.06812920690579609,0.6929730337600181,0.6866154765997835,0.6866154841873116,0.009174321150332428,0.009174310201092443,1.094923998576385e-08
1.25,I,0.08254041852680173,0.6929730337600181,0.6856093430233436,0.6856093499548703,0.010626229850127941,0.010626219847535708,1.0002592234145813e-08
1.25,I,0.1,0.6929730337600181,0.6844384075949536,0.6844384131795328,0.012315957114169777,0.01231594905530028,8.058869496245668e-09
1.25,II,1e-06,0.6929730337600181,0.6929717667778641,0.8274207784388133,1.8283282209330494e-06,0.19401583918683274,0.19401766751505367
1.25,II,1.2115276586285875e-06,0.6929730337600181,0.6929715648156488,0.7981908757486985,2.119771329749376e-06,0.15183540608755955,0.1518375258588893
1.25,II,1.4677992676220705e-06,0.6929730337600181,0.6929714272203933,0.7782767731175874,2.3183292083671388e-06,0.12309820902368712,0.12310052735289549
1.25,II,1.778279410038923e-06,0.6929730337600181,0.692971333477837,0.7647094501546263,2.453605116239622e-06,0.1035197805683318,0.10352223417344805
1.25,II,2.1544346900318822e-06,0.6929730337600181,0.6929709295768784,0.7472298550343425,3.0364574624213296e-06,0.07829571805980833,0.07829875451727074
1.25,II,2.6101572156825386e-06,0.6929730337600181,0.6929705176996152,0.7320099369303422,3.6308200757263343e-06,0.056332499633518114,0.05633613045359384
1.25,II,3.162277660168379e-06,0.6929730337600181,0.6929702370909022,0.7216407376615118,4.035754610350287e-06,0.04136914786704616,0.04137318362165651
1.25,II,3.831186849557285e-06,0.6929730337600181,0.6929698460254984,0.7145887541049503,4.600084511783243e-06,0.03119272943082211,0.031197329515333893
1.25,II,4.641588833612782e-06,0.6929730337600181,0.6929692190788833,0.7098067994657453,5.5048045867707455e-06,0.02429209346630495,0.024297598270891722
1.25,II,5.623413251903491e-06,0.6929730337600181,0.6929687919451268,0.7065488908542299,6.121183198443138e-06,0.019590743698279685,0.01959686488147813
1.25,II,6.8129206905796085e-06,0.6929730337600181,0.692967988179411,0.7032711710260544,7.281063419917401e-06,0.014860805203572566,0.014868086266992485
1.25,II,8.25404185268019e-06,0.6929730337600181,0.6929673202568697,0.7007897884327204,8.244914116460741e-06,0.01128002720436215,0.011288272118478613
1.25,II,1e-05,0.6929730337600181,0.6929663240386477,0.6986319088025172,9.682514388756312e-06,0.008166082613337147,0.008175765127725903
